Age.at.T04,Gender.T04,Religious.T04,Religion.Identification.T04,T4.MAORI.GME,T4.MAORI.VEM,Perc.Discrim.T04
29.196440793976727,0,0,NA,5.75,4.714285714285714,5
35.10198494182067,0,1,2,7,3.5714285714285716,3
49.50581793292265,0,NA,NA,6.5,5.714285714285714,2
43.67419575633128,0,0,NA,6.25,5.714285714285714,1
33.097878165639976,1,1,6,4.428571428571429,4.428571428571429,5
23.345653661875428,0,1,7,4.375,2.142857142857143,4
58.4394250513347,0,0,NA,5.625,7,2
21.17453798767967,0,1,7,6.5,2.7142857142857144,1
37.44832306639288,1,0,NA,6.75,5.571428571428571,4
45.44832306639288,1,1,7,3.75,3.2857142857142856,7
38.19849418206708,1,1,7,5.875,5.714285714285714,5
61.56605065023956,1,1,5,4.125,3.7142857142857144,3
48.865160848733744,0,1,6,7,3.7142857142857144,4
28.032854209445585,0,1,4,7,5.285714285714286,4
19.696098562628336,0,0,NA,6.833333333333333,5.285714285714286,1
35.337440109514034,0,1,2,5.625,3.5714285714285716,4
39.59479808350445,0,0,NA,6.375,4.833333333333333,6
33.23750855578371,0,1,7,6.875,3.7142857142857144,4
45.39356605065024,0,0,NA,4.125,3.4285714285714284,2
52.20807665982204,0,1,5,6.125,2.857142857142857,3
25.861738535249827,0,0,NA,4.25,2.857142857142857,2
40.648870636550306,0,1,3,5.625,4.714285714285714,3
31.26899383983573,0,0,NA,4.125,1.7142857142857142,1
24.692676249144423,0,0,NA,5.75,6,5
47.75085557837098,0,1,1,6.25,5.285714285714286,7
57.270362765229294,0,0,NA,4,2.5714285714285716,5
39.49075975359343,0,0,NA,5.5,3.5714285714285716,3
47.94798083504449,1,1,7,2.5,7,1
38.483230663928815,0,0,NA,4.25,2.5714285714285716,1
26.967830253251197,1,0,NA,5.25,3.7142857142857144,4
23.88227241615332,0,0,NA,6.5,1.2857142857142858,4
57.34976043805612,0,1,3,5.285714285714286,5.142857142857143,7
58.73511293634497,0,1,6,7,5.714285714285714,1
32.74469541409993,0,0,NA,3.125,2.5714285714285716,1
56.88158795345654,0,0,NA,5.375,7,6
19.83025325119781,0,0,NA,5.375,4.714285714285714,3
60.837782340862425,0,1,5,4.25,1.8571428571428572,1
53.295003422313485,0,1,6,7,6.857142857142857,2
50.80355920602327,0,0,NA,2.5,7,7
25.582477754962355,1,0,NA,6.625,4.571428571428571,5
40.06023271731691,0,1,3,7,6.714285714285714,4
19.422313483915126,0,0,NA,1.5,1.8571428571428572,1
24.22450376454483,0,0,NA,6.25,1.1428571428571428,1
